QUERY_ID,QUERY_TEXT,DATABASE_NAME,SCHEMA_NAME,QUERY_TYPE,SESSION_ID,USER_NAME,ROLE_NAME,WAREHOUSE_NAME,WAREHOUSE_SIZE,WAREHOUSE_TYPE,CLUSTER_NUMBER,QUERY_TAG,EXECUTION_STATUS,ERROR_CODE,ERROR_MESSAGE,START_TIME,END_TIME,TOTAL_ELAPSED_TIME,BYTES_SCANNED,ROWS_PRODUCED,COMPILATION_TIME,EXECUTION_TIME,QUEUED_PROVISIONING_TIME,QUEUED_REPAIR_TIME,QUEUED_OVERLOAD_TIME,TRANSACTION_BLOCKED_TIME,OUTBOUND_DATA_TRANSFER_CLOUD,OUTBOUND_DATA_TRANSFER_REGION,OUTBOUND_DATA_TRANSFER_BYTES,INBOUND_DATA_TRANSFER_CLOUD,INBOUND_DATA_TRANSFER_REGION,INBOUND_DATA_TRANSFER_BYTES,CREDITS_USED_CLOUD_SERVICES,LIST_EXTERNAL_FILE_TIME,RELEASE_VERSION,EXTERNAL_FUNCTION_TOTAL_INVOCATIONS,EXTERNAL_FUNCTION_TOTAL_SENT_ROWS,EXTERNAL_FUNCTION_TOTAL_RECEIVED_ROWS,EXTERNAL_FUNCTION_TOTAL_SENT_BYTES,EXTERNAL_FUNCTION_TOTAL_RECEIVED_BYTES,IS_CLIENT_GENERATED_STATEMENT
01a2e353-0b02-c8a1-0001-255606476f8a,drop function if exists ""TEST_EDP_RELTIO_DB"".""MDM"".SINGLE_VALUE_TRANSFORMATION(object),,,DROP,322526295110066,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:21.744 -0500,2022-03-12 20:23:21.792 -0500,48,0,0,47,1,0,0,0,0,,,0,,,0,0.000007000,0,6.7.0,0,0,0,0,0,FALSE
01a2e353-0b02-c54e-0001-25560647888a,describe integration ""TEST_EDP_RELTIOLOADER"",,,DESCRIBE,322526295110062,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:21.461 -0500,2022-03-12 20:23:21.527 -0500,66,0,0,62,4,0,0,0,0,,,0,,,0,0.000010000,0,6.7.0,0,0,0,0,0,FALSE
01a2e353-0b02-c54e-0001-255606478886,select 1,,,SELECT,322526295110062,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:21.409 -0500,2022-03-12 20:23:21.441 -0500,32,0,0,31,1,0,0,0,0,,,0,,,0,0.000005000,0,6.7.0,0,0,0,0,0,FALSE
01a2e353-0b02-c54e-0001-255606478882,drop function if exists ""TEST_EDP_RELTIO_DB"".""MDM"".SINGLE_VALUE_TRANSFORMATION(object),,,DROP,322526295110058,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:21.066 -0500,2022-03-12 20:23:21.104 -0500,38,0,0,36,2,0,0,0,0,,,0,,,0,0.000006000,0,6.7.0,0,0,0,0,0,FALSE
01a2e353-0b02-c54e-0001-25560647887e,describe integration ""TEST_EDP_RELTIOLOADER"",,,DESCRIBE,322526295110054,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:20.815 -0500,2022-03-12 20:23:20.858 -0500,43,0,0,39,4,0,0,0,0,,,0,,,0,0.000006000,0,6.7.0,0,0,0,0,0,FALSE
01a2e353-0b02-c54e-0001-25560647887a,select 1,,,SELECT,322526295110054,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:20.757 -0500,2022-03-12 20:23:20.791 -0500,34,0,0,33,1,0,0,0,0,,,0,,,0,0.000005000,0,6.7.0,0,0,0,0,0,FALSE
01a2e353-0b02-c8a1-0001-255606476f86,drop function if exists ""TEST_EDP_RELTIO_DB"".""MDM"".SINGLE_VALUE_TRANSFORMATION(object),,,DROP,322526295110050,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:20.434 -0500,2022-03-12 20:23:20.479 -0500,45,0,0,44,1,0,0,0,0,,,0,,,0,0.000007000,0,6.7.0,0,0,0,0,0,FALSE
01a2e353-0b02-c54e-0001-255606478876,describe integration ""TEST_EDP_RELTIOLOADER"",,,DESCRIBE,322526295110046,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:20.172 -0500,2022-03-12 20:23:20.214 -0500,42,0,0,38,4,0,0,0,0,,,0,,,0,0.000006000,0,6.7.0,0,0,0,0,0,FALSE
01a2e353-0b02-c54e-0001-255606478872,select 1,,,SELECT,322526295110046,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:20.105 -0500,2022-03-12 20:23:20.142 -0500,37,0,0,36,1,0,0,0,0,,,0,,,0,0.000006000,0,6.7.0,0,0,0,0,0,FALSE
01a2e353-0b02-c8a1-0001-255606476f82,drop function if exists ""TEST_EDP_RELTIO_DB"".""MDM"".SINGLE_VALUE_TRANSFORMATION(object),,,DROP,322526295091274,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:19.814 -0500,2022-03-12 20:23:19.844 -0500,30,0,0,29,1,0,0,0,0,,,0,,,0,0.000004000,0,6.7.0,0,0,0,0,0,FALSE
01a2e353-0b02-c54e-0001-25560647886e,describe integration ""TEST_EDP_RELTIOLOADER"",,,DESCRIBE,322526295110042,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:19.485 -0500,2022-03-12 20:23:19.524 -0500,39,0,0,34,5,0,0,0,0,,,0,,,0,0.000006000,0,6.7.0,0,0,0,0,0,FALSE
01a2e353-0b02-c54e-0001-25560647886a,select 1,,,SELECT,322526295110042,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:19.433 -0500,2022-03-12 20:23:19.463 -0500,30,0,0,29,1,0,0,0,0,,,0,,,0,0.000004000,0,6.7.0,0,0,0,0,0,FALSE
01a2e353-0b02-c8a1-0001-255606476f7e,drop function if exists ""TEST_EDP_RELTIO_DB"".""MDM"".SINGLE_VALUE_TRANSFORMATION(object),,,DROP,322526295110038,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:19.113 -0500,2022-03-12 20:23:19.158 -0500,45,0,0,44,1,0,0,0,0,,,0,,,0,0.000007000,0,6.7.0,0,0,0,0,0,FALSE
01a2e353-0b02-c8a1-0001-255606476f7a,describe integration ""TEST_EDP_RELTIOLOADER"",,,DESCRIBE,322526295110034,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:18.820 -0500,2022-03-12 20:23:18.873 -0500,53,0,0,48,5,0,0,0,0,,,0,,,0,0.000008000,0,6.7.0,0,0,0,0,0,FALSE
01a2e353-0b02-c8a1-0001-255606476f76,select 1,,,SELECT,322526295110034,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:18.729 -0500,2022-03-12 20:23:18.800 -0500,71,0,0,70,1,0,0,0,0,,,0,,,0,0.000011000,0,6.7.0,0,0,0,0,0,FALSE
01a2e353-0b02-c54e-0001-255606478866,drop function if exists ""TEST_EDP_RELTIO_DB"".""MDM"".SINGLE_VALUE_TRANSFORMATION(object),,,DROP,322526295091270,SVC_EDP_RELTIOLOAD_TEST,TEST_EDP_RELTIOLOAD_ROLE,,,STANDARD,,,SUCCESS,,,2022-03-12 20:23:18.316 -0500,2022-03-12 20:23:18.376 -0500,60,0,0,41,19,0,0,0,0,,,0,,,0,0.000009000,0,6.7.0,0,0,0,0,0,FALSE
